id	product_description	Silhouette	Fabric	Neckline	Sleeve	Length	Embellishment	Color	Category
23	Silk cocktail dress off shoulder	Cocktail Dress	Silk	Off Shoulder	Sleeveless	Short	None	Pink	Cocktail Dress
24	Crepe gown square neckline	Gown	Crepe	Square Neck	Long Sleeve	Full Length	None	Blue	Gown
25	Lace party dress glitter	Party Dress	Lace	Round Neck	Sleeveless	Short	Glitter	Black	Party Dress
26	Satin dress spaghetti straps	Dress	Satin	Sweetheart	Spaghetti Strap	Short	None	Red	Dress
27	Velvet dress long sleeves	Dress	Velvet	High Neck	Long Sleeve	Midi	None	Green	Dress
28	Chiffon gown asymmetrical neckline	Gown	Chiffon	Asymmetrical	Long Sleeve	Full Length	None	Blue	Gown
29	Cotton dress boat neck	Dress	Cotton	Boat Neck	Short Sleeve	Midi	None	White	Dress
30	Organza gown pleats	Gown	Organza	V Neck	Sleeveless	Full Length	Pleats	Pink	Gown
31	Satin wedding dress train	Wedding Dress	Satin	Sweetheart	Sleeveless	Full Length	None	White	Wedding Dress
32	Tulle dress puff sleeves	Dress	Tulle	Round Neck	Puff Sleeve	Midi	None	Blue	Dress
33	Lace mermaid gown beadwork	Mermaid	Lace	V Neck	Long Sleeve	Full Length	Beading	White	Gown
34	Silk dress scoop neck	Dress	Silk	Scoop Neck	Sleeveless	Midi	None	Green	Dress
35	Velvet cocktail dress sequins	Cocktail Dress	Velvet	Round Neck	Short Sleeve	Short	Sequins	Black	Cocktail Dress
36	Denim dress collar	Dress	Denim	Collar	Short Sleeve	Midi	None	Blue	Dress
37	Crepe gown halter neck	Gown	Crepe	Halter	Sleeveless	Full Length	None	Red	Gown
38	Chiffon dress ruched waist	Dress	Chiffon	V Neck	Sleeveless	Midi	Ruched	Pink	Dress
39	Satin gown one shoulder	Gown	Satin	One Shoulder	Sleeveless	Full Length	None	Gold	Gown
40	Lace dress cap sleeves	Dress	Lace	Boat Neck	Short Sleeve	Midi	None	White	Dress
41	Cotton dress square neck	Dress	Cotton	Square Neck	Short Sleeve	Midi	None	Beige	Dress
42	Tulle gown embroidery	Gown	Tulle	Sweetheart	Sleeveless	Full Length	Embroidery	Pink	Gown
43	Velvet dress slit	Dress	Velvet	High Neck	Long Sleeve	Midi	None	Black	Dress
44	Silk dress V neck	Dress	Silk	V Neck	Sleeveless	Midi	None	Blue	Dress
45	Organza dress ruffles	Dress	Organza	Round Neck	Sleeveless	Short	Ruffles	Pink	Dress
46	Linen dress crew neck	Dress	Linen	Crew Neck	Short Sleeve	Midi	None	White	Dress
47	Satin gown drape	Gown	Satin	One Shoulder	Sleeveless	Full Length	None	Gold	Gown
48	Chiffon dress bell sleeves	Dress	Chiffon	V Neck	Bell Sleeve	Midi	None	Blue	Dress
49	Lace dress illusion neckline	Dress	Lace	Illusion	Long Sleeve	Midi	Lace	White	Dress
50	Velvet party dress glitter	Party Dress	Velvet	High Neck	Long Sleeve	Short	Glitter	Black	Party Dress
51	Silk gown halter neck	Gown	Silk	Halter	Sleeveless	Full Length	None	Gold	Gown
52	Satin dress high neck	Dress	Satin	High Neck	Sleeveless	Midi	None	Red	Dress
